Individual,Species,Family,Month,Year,Location,Collector,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length,Lattitude_Group,Temperature_District,Temperature_Before,Temperature_Of,Ecology,Voltinism,,
96,small skipper,Hesperiidae,July,1986,Hampshire,CJ Luckens,male,12.852,62.125,1.97,6.475,2,England S,11.24,11.05,GS,Univoltine,,
86,silver spotted skipper,Hesperiidae,August,1987,Hampshire,MC White,female,13.332,67.216,3.308,6.986,2,England S,11.05,11.48,SS,Univoltine,,
90,silver spotted skipper,Hesperiidae,August,1987,Hampshire,MC White,male,12.294,57.518,2.253,4.7,2,England S,11.05,11.48,SS,Univoltine,,
70,dingy skipper,Hesperiidae,May,1989,Wiltshire,,,13.008,60.509,2.238,4.648,2,England S,11.765,12.835,GS,Univoltine,,
2,grizzled skipper,Hesperiidae,June,1989,Wiltshire,,,11.128,46.69,2.078,5.393,2,England S,11.765,12.835,GG,Univoltine,,
82,dingy skipper,Hesperiidae,May,1990,Hampshire,CJ Luckens,,12.123,52.1,2.152,5.284,2,England S,12.835,12.95,GS,Univoltine,,
13,grizzled skipper,Hesperiidae,June,1990,Wiltshire,,,11.157,48.378,2.387,5.12,2,England S,12.835,12.95,GG,Univoltine,,
24,grizzled skipper,Hesperiidae,June,1990,Wiltshire,,,10.708,48.007,2.314,5.138,2,England S,12.835,12.95,GG,Univoltine,,
79,small skipper,Hesperiidae,August,1991,Kent,CJ Luckens,female,13.315,66.133,2.808,5.909,2,England S,12.95,12.145,GS,Univoltine,,
85,dingy skipper,Hesperiidae,June,1992,Wiltshire,,,12.539,63.643,2.048,5.388,2,England S,12.145,12.875,GS,Univoltine,,
86,dingy skipper,Hesperiidae,June,1992,Wiltshire,,,11.082,49.078,2.117,6.045,2,England S,12.145,12.875,GS,Univoltine,,
96,silver spotted skipper,Hesperiidae,July,1994,Surrey,JE Pateman,female,13.239,60.563,2.999,6.032,2,England S,12.115,12.58,SS,Univoltine,,
14,grizzled skipper,Hesperiidae,May,1997,Lincolnshire,MC White,,10.475,45.735,2.114,5.339,4,England N,10.335,11.78,GG,Univoltine,,
87,silver spotted skipper,Hesperiidae,August,1997,Surrey,M Harvey,female,14.49,72.603,3.112,6.078,2,England S,11.535,13.095,SS,Univoltine,,
93,silver spotted skipper,Hesperiidae,August,1997,Surrey,M Harvey,male,12.571,56.383,1.88,6.014,2,England S,11.535,13.095,SS,Univoltine,,
97,silver spotted skipper,Hesperiidae,August,1997,Surrey,M Harvey,male,13.107,60.718,2.465,6.484,2,England S,11.535,13.095,SS,Univoltine,,
77,dingy skipper,Hesperiidae,June,1998,Wiltshire,,,11.426,49.678,2.065,5.715,2,England S,13.095,12.535,GS,Univoltine,,
106,small skipper,Hesperiidae,July,2000,Bedfordshire,RC Revels,male,12.814,55.203,1.793,6.275,3,England S,12.98,12.48,GS,Univoltine,,
8,grizzled skipper,Hesperiidae,May,2002,East Sussex,CJ Luckens,,11.607,50.783,2.442,5.668,2,England S,12.405,12.73,GG,Univoltine,,
33,grizzled skipper,Hesperiidae,May,2002,East Sussex,CJ Luckens,,11.455,49.219,2.313,5.145,2,England S,12.405,12.73,GG,Univoltine,,
39,grizzled skipper,Hesperiidae,May,2002,East Sussex,CJ Luckens,,10.563,41.696,2.164,5.308,2,England S,12.405,12.73,GG,Univoltine,,
46,grizzled skipper,Hesperiidae,May,2002,East Sussex,CJ Luckens,,11.495,55.088,2.527,5.835,2,England S,12.405,12.73,GG,Univoltine,,
47,grizzled skipper,Hesperiidae,May,2002,East Sussex,CJ Luckens,,11.024,49.19,2.218,4.89,2,England S,12.405,12.73,GG,Univoltine,,
89,small skipper,Hesperiidae,July,2002,Dorset,CJ Luckens,female,14.496,71.95,2.954,6.474,1,England S,12.405,12.73,GS,Univoltine,,
73,dingy skipper,Hesperiidae,May,2003,Dorset,CJ Luckens,,12.224,56.314,2.461,5.147,1,England S,12.73,13.54,GS,Univoltine,,
84,dingy skipper,Hesperiidae,May,2003,Dorset,CJ Luckens,,12.394,56.767,2.375,5.284,1,England S,12.73,13.54,GS,Univoltine,,
32,grizzled skipper,Hesperiidae,May,2003,East Sussex,CJ Luckens,,11.557,51.833,1.982,5.291,2,England S,12.73,13.54,GG,Univoltine,,
58,purple hairstreak,Lycaenidae,August,1876,Suffolk,FA Dixey,female,16.064,118.095,2.707,4.459,3,England S,10.81,11.65,GS,Univoltine,,
31,adonis blue,Lycaenidae,July,1882,Dorset,,male,14.288,82.679,1.893,5.703,1,England S,11.37,11.75,SS,Multivoltine,,
32,adonis blue,Lycaenidae,May,1882,Isle of Wight,,female,15.113,88.203,2.164,5.251,1,England S,11.37,11.75,SS,Multivoltine,,
40,adonis blue,Lycaenidae,July,1882,Dorset,,male,15.75,97.602,1.466,5.929,1,England S,11.37,11.75,SS,Multivoltine,,
42,common blue,Lycaenidae,,1882,Hampshire,Chitty,female,14.86,82.506,2.158,6.265,2,England S,11.37,11.75,GG,Multivoltine,,
57,common blue,Lycaenidae,June,1882,Greater London,,female,15.896,98.865,1.697,5.239,2,England S,11.37,11.75,GG,Multivoltine,,
1,brown argus,Lycaenidae,August,1884,Dorset,,,12.867,64.244,1.27,5.081,1,England S,10.71,11.91,GG,Multivoltine,,
6,brown argus,Lycaenidae,August,1884,Dorset,,,13.405,66.907,1.25,5.237,2,England S,10.71,11.91,GG,Multivoltine,,
9,brown argus,Lycaenidae,August,1884,Dorset,,,12.037,56.198,1.309,5.258,2,England S,10.71,11.91,GG,Multivoltine,,
10,brown argus,Lycaenidae,August,1884,Dorset,,,12.518,55.036,1.123,4.51,2,England S,10.71,11.91,GG,Multivoltine,,
12,brown argus,Lycaenidae,August,1885,Dorset,,,11.067,45.742,1.032,4.405,2,England S,11.91,10.94,GG,Multivoltine,,
35,brown argus,Lycaenidae,June,1885,Greater London,,,13.003,61.715,1.192,5.614,2,England S,11.91,10.94,GG,Multivoltine,,
42,brown argus,Lycaenidae,June,1887,Greater London,,,13.565,69.868,1.666,5.377,2,England S,11.32,11.35,GG,Multivoltine,,
43,brown argus,Lycaenidae,June,1887,Greater London,,,11.745,55.704,1.468,5.336,2,England S,11.32,11.35,GG,Multivoltine,,
44,brown argus,Lycaenidae,June,1887,Hampshire,,,13.38,62.859,1.309,5.317,2,England S,11.32,11.35,GG,Multivoltine,,
3,small blue,Lycaenidae,June,1887,Isle of Wight,,male,12.033,54.489,1.215,5.183,1,England S,11.32,11.35,SS,Univoltine,,
9,small blue,Lycaenidae,June,1887,Isle of Wight,,male,13.074,62.301,1.386,4.215,1,England S,11.32,11.35,SS,Univoltine,,
71,holly blue,Lycaenidae,May,1888,Berkshire,W Holland,male,13.85,74.289,1.113,5.715,2,England S,11.35,10.245,GG,Multivoltine,,
1,purple hairstreak,Lycaenidae,,1888,Kent,Chitty,male,16.288,117.12,1.501,6.6,2,England S,11.35,10.245,GS,Univoltine,,
2,purple hairstreak,Lycaenidae,,1888,Kent,Chitty,male,16.918,126.891,1.752,6.305,2,England S,11.35,10.245,GS,Univoltine,,
3,purple hairstreak,Lycaenidae,,1888,Kent,Chitty,male,17.366,125.675,1.684,6.689,2,England S,11.35,10.245,GS,Univoltine,,
4,purple hairstreak,Lycaenidae,,1888,Kent,Chitty,female,16.802,118.286,2.798,5.664,2,England S,11.35,10.245,GS,Univoltine,,
5,purple hairstreak,Lycaenidae,,1888,Kent,Chitty,female,16.422,116.689,1.706,5.551,2,England S,11.35,10.245,GS,Univoltine,,
16,purple hairstreak,Lycaenidae,August,1888,Hampshire,Chitty,female,17.192,130.853,1.752,5.348,2,England S,11.35,10.245,GS,Univoltine,,
34,brown argus,Lycaenidae,June,1889,Greater London,,,13.017,65.644,1.805,4.82,2,England S,10.245,11.61,GG,Multivoltine,,
17,holly blue,Lycaenidae,May,1889,West Midlands,,male,16.119,102.364,1.441,6.402,3,England S,10.245,11.61,GG,Multivoltine,,
18,holly blue,Lycaenidae,May,1889,Kent,,female,16.155,103.115,2.141,5.257,2,England S,10.245,11.61,GG,Multivoltine,,
38,small blue,Lycaenidae,May,1889,Devon,,male,13.046,61.347,1.064,4.888,1,England S,10.245,11.61,SS,Univoltine,,
58,small copper,Lycaenidae,June,1889,Greater London,,,13.409,70.722,1.552,4.133,2,England S,10.245,11.61,GS,Multivoltine,,
22,common blue,Lycaenidae,June,1890,Berkshire,W Holland,female,15.86,93.416,2.181,5.2,2,England S,11.61,11.295,GG,Multivoltine,,
29,common blue,Lycaenidae,June,1890,Berkshire,W Holland,female,16.001,95.231,1.949,5.01,2,England S,11.61,11.295,GG,Multivoltine,,
55,purple hairstreak,Lycaenidae,,1890,Gloucestershire,Chitty,female,14.753,93.887,1.707,5.551,2,England S,11.61,11.295,GS,Univoltine,,
92,small blue,Lycaenidae,,1890,Gloucestershire,Chitty,male,11.025,49.185,0.974,4.458,2,England S,11.61,11.295,SS,Univoltine,,
27,common blue,Lycaenidae,August,1891,Oxfordshire,W Holland,male,14.069,76.667,1.404,5.032,2,England S,11.295,10.58,GG,Multivoltine,,
91,small blue,Lycaenidae,,1891,Gloucestershire,Chitty,male,10.398,40.37,0.826,3.897,2,England S,11.295,10.58,SS,Univoltine,,
47,small copper,Lycaenidae,August,1891,Greater London,,,15.108,90.749,2.242,4.758,2,England S,11.295,10.58,GS,Multivoltine,,
6,common blue,Lycaenidae,August,1892,Hampshire,HS Sellon,female,12.081,60.053,1.467,4.253,2,England S,10.58,10.755,GG,Multivoltine,,
34,common blue,Lycaenidae,August,1892,Berkshire,W Holland,female,14.252,75.131,1.676,4.945,2,England S,10.58,10.755,GG,Multivoltine,,
35,common blue,Lycaenidae,,1892,Berkshire,HR Smith,female,14.966,85.408,1.823,6.035,2,England S,10.58,10.755,GG,Multivoltine,,
39,common blue,Lycaenidae,August,1892,Berkshire,W Holland,female,15.476,92.09,1.803,4.232,2,England S,10.58,10.755,GG,Multivoltine,,
24,purple hairstreak,Lycaenidae,,1892,Hampshire,Chitty,female,16.193,105.865,1.866,5.3,2,England S,10.58,10.755,GS,Univoltine,,
38,purple hairstreak,Lycaenidae,,1892,Berkshire,HR Smith,female,14.822,97.075,1.843,5.576,2,England S,10.58,10.755,GS,Univoltine,,
39,purple hairstreak,Lycaenidae,,1892,Berkshire,HR Smith,male,15.85,104.493,1.638,6.052,2,England S,10.58,10.755,GS,Univoltine,,
44,purple hairstreak,Lycaenidae,,1892,Berkshire,HR Smith,male,15.762,110.462,1.524,5.505,2,England S,10.58,10.755,GS,Univoltine,,
59,purple hairstreak,Lycaenidae,July,1892,Northamptonshire,RH Heath,female,16.354,117.816,2.571,5.324,3,England S,10.58,10.755,GS,Univoltine,,
53,small blue,Lycaenidae,May,1892,Surrey,,male,10.143,40.042,1.04,3.848,2,England S,10.58,10.755,SS,Univoltine,,
58,small blue,Lycaenidae,June,1892,Surrey,,male,11.55,48.745,1.238,4.013,2,England S,10.58,10.755,SS,Univoltine,,
94,small blue,Lycaenidae,,1892,Kent,Stevens,male,12.256,55.768,1.123,4.739,2,England S,10.58,10.755,SS,Univoltine,,
104,small copper,Lycaenidae,,1893,Berkshire,AH Hamm,,14.024,74.813,1.706,4.48,2,England S,10.755,13.29,GS,Multivoltine,,
105,small copper,Lycaenidae,July,1893,Suffolk,RH Heath,,12.199,63.8,1.255,3.868,3,England S,10.755,13.29,GS,Multivoltine,,
33,adonis blue,Lycaenidae,June,1894,Kent,,male,16.798,106.293,1.736,6.448,2,England S,13.29,11.585,SS,Multivoltine,,
39,adonis blue,Lycaenidae,May,1894,Surrey,,female,15.516,97.044,2.029,5.703,2,England S,13.29,11.585,SS,Multivoltine,,
41,adonis blue,Lycaenidae,June,1894,Kent,,female,15.347,90.014,1.803,6.177,2,England S,13.29,11.585,SS,Multivoltine,,
31,common blue,Lycaenidae,August,1894,Berkshire,HR Smith,male,14.237,79.019,2.057,5.617,2,England S,13.29,11.585,GG,Multivoltine,,
32,common blue,Lycaenidae,August,1894,Berkshire,HR Smith,female,14.53,82.954,1.66,5.369,2,England S,13.29,11.585,GG,Multivoltine,,
33,common blue,Lycaenidae,August,1894,Berkshire,HR Smith,female,14.35,88.333,2.285,5.783,2,England S,13.29,11.585,GG,Multivoltine,,
41,small copper,Lycaenidae,July,1894,Essex,,,15.532,90.18,2.179,5.07,2,England S,13.29,11.585,GS,Multivoltine,,
106,small copper,Lycaenidae,May,1894,Essex,RH Heath,,13.334,74.305,2.24,4.213,2,England S,13.29,11.585,GS,Multivoltine,,
2,adonis blue,Lycaenidae,August,1895,Dorset,,female,15.701,100.545,1.988,5.318,1,England S,11.585,11.89,SS,Multivoltine,,
11,adonis blue,Lycaenidae,August,1895,Dorset,,female,15.845,95.935,2.014,5.866,1,England S,11.585,11.89,SS,Multivoltine,,
90,small blue,Lycaenidae,June,1895,Gloucestershire,Chitty,male,10.664,44.768,1.057,3.966,2,England S,11.585,11.89,SS,Univoltine,,
108,small copper,Lycaenidae,,1895,Berkshire,AH Hamm,,12.915,62.472,1.707,4.131,2,England S,11.585,11.89,GS,Multivoltine,,
10,adonis blue,Lycaenidae,June,1896,Gloucestershire,,male,15.069,85.301,1.839,5.816,2,England S,11.89,12.455,SS,Multivoltine,,
12,adonis blue,Lycaenidae,June,1896,Gloucestershire,,male,15.608,101.626,1.74,5.275,2,England S,11.89,12.455,SS,Multivoltine,,
18,adonis blue,Lycaenidae,August,1896,West Sussex,Sewlyn Image,male,15.705,94.335,1.616,5.766,2,England S,11.89,12.455,SS,Multivoltine,,
21,adonis blue,Lycaenidae,August,1896,West Sussex,Sewlyn Image,female,14.376,81.297,1.765,5.693,2,England S,11.89,12.455,SS,Multivoltine,,
22,adonis blue,Lycaenidae,August,1896,West Sussex,Sewlyn Image,male,15.561,94.271,1.764,6.088,2,England S,11.89,12.455,SS,Multivoltine,,
23,adonis blue,Lycaenidae,August,1896,West Sussex,Sewlyn Image,male,12.983,65.77,1.735,5.048,2,England S,11.89,12.455,SS,Multivoltine,,
25,adonis blue,Lycaenidae,August,1896,West Sussex,Sewlyn Image,female,15.612,93.395,1.487,5.932,2,England S,11.89,12.455,SS,Multivoltine,,
61,adonis blue,Lycaenidae,June,1896,Gloucestershire,,male,14.69,78.996,1.573,5.262,2,England S,11.89,12.455,SS,Multivoltine,,
62,adonis blue,Lycaenidae,June,1896,Gloucestershire,,male,14.503,89.335,1.753,5.638,2,England S,11.89,12.455,SS,Multivoltine,,
5,brown argus,Lycaenidae,,1896,West Sussex,Sewlyn Image,,12.076,52.843,1.17,5.178,2,England S,11.89,12.455,GG,Multivoltine,,
1,common blue,Lycaenidae,August,1896,Hampshire,HR Smith,male,12.614,63.38,1.312,5.478,2,England S,11.89,12.455,GG,Multivoltine,,
2,common blue,Lycaenidae,August,1896,Hampshire,HR Smith,male,14.167,86.163,1.467,5.995,2,England S,11.89,12.455,GG,Multivoltine,,
4,common blue,Lycaenidae,August,1896,Hampshire,HR Smith,female,13.713,69.374,1.503,4.625,2,England S,11.89,12.455,GG,Multivoltine,,
5,common blue,Lycaenidae,August,1896,Hampshire,HR Smith,female,13.015,69.615,1.341,4.365,2,England S,11.89,12.455,GG,Multivoltine,,
9,common blue,Lycaenidae,August,1896,Hampshire,HR Smith,male,15.371,95.455,1.531,5.155,2,England S,11.89,12.455,GG,Multivoltine,,
10,common blue,Lycaenidae,August,1896,Hampshire,HR Smith,female,14.445,80.031,1.53,5.327,2,England S,11.89,12.455,GG,Multivoltine,,
12,common blue,Lycaenidae,August,1896,Hampshire,HR Smith,female,13.437,72.743,1.572,5.535,2,England S,11.89,12.455,GG,Multivoltine,,
20,common blue,Lycaenidae,August,1896,Oxfordshire,HR Smith,male,13.563,70.098,1.321,5.081,2,England S,11.89,12.455,GG,Multivoltine,,
21,common blue,Lycaenidae,August,1896,Oxfordshire,HR Smith,female,14.563,79.764,1.404,4.484,2,England S,11.89,12.455,GG,Multivoltine,,
28,common blue,Lycaenidae,August,1896,Oxfordshire,HR Smith,female,14.604,80.317,1.993,4.966,2,England S,11.89,12.455,GG,Multivoltine,,
38,common blue,Lycaenidae,August,1896,Berkshire,HR Smith,male,15.383,87.036,1.595,6.795,2,England S,11.89,12.455,GG,Multivoltine,,
1,holly blue,Lycaenidae,,1896,Kent,Sewlyn image,male,14.601,88.637,1.442,5.702,2,England S,11.89,12.455,GG,Multivoltine,,
2,holly blue,Lycaenidae,,1896,Kent,Sewlyn image,male,13.727,69.917,1.06,4.792,2,England S,11.89,12.455,GG,Multivoltine,,
8,holly blue,Lycaenidae,,1896,Kent,Sewlyn image,male,15.973,102.556,1.209,5.959,2,England S,11.89,12.455,GG,Multivoltine,,
94,holly blue,Lycaenidae,July,1896,Devon,Nevil V Sidgwick,male,15.942,101.393,1.345,6.31,1,England S,11.89,12.455,GG,Multivoltine,,
95,holly blue,Lycaenidae,July,1896,Devon,Nevil V Sidgwick,female,15.631,95.206,1.423,5.25,1,England S,11.89,12.455,GG,Multivoltine,,
6,purple hairstreak,Lycaenidae,July,1896,Devon,Nevil V Sidgwick,male,17.503,130.817,1.889,6.757,1,England S,11.89,12.455,GS,Univoltine,,
99,small blue,Lycaenidae,June,1896,Gloucestershire,Chitty,male,9.868,34.874,0.859,3.898,2,England S,11.89,12.455,SS,Univoltine,,
17,common blue,Lycaenidae,August,1897,Oxfordshire,AH Hamm,male,14.981,89.64,1.866,5.692,2,England S,12.455,12.03,GG,Multivoltine,,
18,common blue,Lycaenidae,August,1897,Oxfordshire,AH Hamm,male,14.226,82.83,1.657,5.427,2,England S,12.455,12.03,GG,Multivoltine,,
19,common blue,Lycaenidae,August,1897,Oxfordshire,AH Hamm,male,14.579,78.58,1.867,5.323,2,England S,12.455,12.03,GG,Multivoltine,,
25,common blue,Lycaenidae,August,1897,Oxfordshire,AH Hamm,male,14.47,82.58,1.551,4.925,2,England S,12.455,12.03,GG,Multivoltine,,
26,common blue,Lycaenidae,August,1897,Oxfordshire,AH Hamm,female,13.756,79.144,1.676,4.864,2,England S,12.455,12.03,GG,Multivoltine,,
7,purple hairstreak,Lycaenidae,July,1897,Oxfordshire,Nevil V Sidgwick,female,15.702,104.059,1.956,4.8,2,England S,12.455,12.03,GS,Univoltine,,
14,purple hairstreak,Lycaenidae,July,1897,Oxfordshire,Nevil V Sidgwick,female,16.445,115.157,2.138,6.096,2,England S,12.455,12.03,GS,Univoltine,,
29,purple hairstreak,Lycaenidae,July,1897,Oxfordshire,Nevil V Sidgwick,female,16.73,120.24,2.275,6.257,2,England S,12.455,12.03,GS,Univoltine,,
69,small blue,Lycaenidae,June,1897,Gloucestershire,Nevil V Sidgwick,female,10.321,39.152,0.925,3.864,2,England S,12.455,12.03,SS,Univoltine,,
95,small blue,Lycaenidae,June,1897,Kent,WM Geldart,female,11.101,46.852,1.205,4.136,2,England S,12.455,12.03,SS,Univoltine,,
96,small blue,Lycaenidae,June,1897,Kent,WM Geldart,female,11.159,46.698,1.238,4.162,2,England S,12.455,12.03,SS,Univoltine,,
1,adonis blue,Lycaenidae,June,1898,Gloucestershire,,male,16.795,107.074,2.063,5.342,2,England S,12.03,11.41,SS,Multivoltine,,
13,adonis blue,Lycaenidae,June,1898,Gloucestershire,,female,15.652,94.404,2.311,5.021,2,England S,12.03,11.41,SS,Multivoltine,,
3,brown argus,Lycaenidae,June,1898,Gloucestershire,,,12.776,60.659,1.646,4.524,2,England S,12.03,11.41,GG,Multivoltine,,
4,brown argus,Lycaenidae,August,1898,Kent,Sewlyn Image,,12.196,59.219,1.171,5.416,2,England S,12.03,11.41,GG,Multivoltine,,
7,brown argus,Lycaenidae,June,1898,Gloucestershire,,,13.572,66.56,1.409,5.079,2,England S,12.03,11.41,GG,Multivoltine,,
8,brown argus,Lycaenidae,August,1898,Kent,Sewlyn Image,,12.537,56.001,1.172,5.103,2,England S,12.03,11.41,GG,Multivoltine,,
11,brown argus,Lycaenidae,June,1898,Gloucestershire,,,13.115,66.579,1.805,5.059,2,England S,12.03,11.41,GG,Multivoltine,,
13,brown argus,Lycaenidae,August,1898,Kent,,,11.221,51.269,1.408,4.086,2,England S,12.03,11.41,GG,Multivoltine,,
10,purple hairstreak,Lycaenidae,,1898,Hampshire,H Goss,female,16.144,110.113,2.302,6.259,2,England S,12.03,11.41,GS,Univoltine,,
11,purple hairstreak,Lycaenidae,,1898,Hampshire,H Goss,male,15.747,105.387,1.992,5.281,2,England S,12.03,11.41,GS,Univoltine,,
17,purple hairstreak,Lycaenidae,,1898,Hampshire,H Goss,male,16.872,126.872,1.797,5.191,2,England S,12.03,11.41,GS,Univoltine,,
63,small blue,Lycaenidae,June,1898,cotswolds,Nevil V Sidgwick,male,10.983,45.051,1.007,4.425,3,England S,12.03,11.41,SS,Univoltine,,
68,small blue,Lycaenidae,June,1898,Gloucestershire,Arthur Sidgwick,male,10.842,44.516,1.04,4.227,2,England S,12.03,11.41,SS,Univoltine,,
13,small copper,Lycaenidae,August,1898,Kent,SJ,,13.762,78.402,1.824,4.633,2,England S,12.03,11.41,GS,Multivoltine,,
38,adonis blue,Lycaenidae,August,1899,Surrey,,female,14.811,87.225,1.645,5.882,2,England S,11.41,12.28,SS,Multivoltine,,
2,brown argus,Lycaenidae,June,1899,Oxfordshire,,,12.03,50.744,1.21,4.701,2,England S,11.41,12.28,GG,Multivoltine,,
97,holly blue,Lycaenidae,July,1899,Dorset,WG Pogson Smith,male,14.838,89.8,1.293,4.991,1,England S,11.41,12.28,GG,Multivoltine,,
98,holly blue,Lycaenidae,July,1899,Dorset,WG Pogson Smith,female,14.538,85.661,1.656,4.914,1,England S,11.41,12.28,GG,Multivoltine,,
12,purple hairstreak,Lycaenidae,,1899,Oxfordshire,WG Pogson Smith,male,17.844,137.173,2.026,6.392,2,England S,11.41,12.28,GS,Univoltine,,
23,purple hairstreak,Lycaenidae,July,1899,Oxfordshire,Nevil V Sidgwick,male,16.929,127.682,1.729,5.871,2,England S,11.41,12.28,GS,Univoltine,,
64,small blue,Lycaenidae,June,1899,Dorset,WG Pogson Smith,male,11.167,49.543,1.206,4.921,1,England S,11.41,12.28,SS,Univoltine,,
65,small blue,Lycaenidae,August,1899,Dorset,WG Pogson Smith,male,10.842,44.475,1.057,4.392,1,England S,11.41,12.28,SS,Univoltine,,
35,small copper,Lycaenidae,,1899,Greater London,,,14.273,86.221,1.74,4.19,2,England S,11.41,12.28,GS,Multivoltine,,
36,small copper,Lycaenidae,,1899,Greater London,,,14.056,81.86,1.823,4.527,2,England S,11.41,12.28,GS,Multivoltine,,
37,small copper,Lycaenidae,June,1899,Greater London,,,14.777,93.962,2.221,4.002,2,England S,11.41,12.28,GS,Multivoltine,,
5,adonis blue,Lycaenidae,June,1900,Buckinghamshire,HRB,male,14.826,81.003,1.441,6.116,2,England S,12.28,11.565,SS,Multivoltine,,
15,adonis blue,Lycaenidae,June,1900,Buckinghamshire,HRB,male,14.924,92.162,1.591,5.668,2,England S,12.28,11.565,SS,Multivoltine,,
45,adonis blue,Lycaenidae,June,1900,Buckinghamshire,HRB,male,16.232,100.21,1.814,6.065,2,England S,12.28,11.565,SS,Multivoltine,,
29,brown argus,Lycaenidae,August,1900,Buckinghamshire,HRB,,11.07,45.729,1.133,4.821,2,England S,12.28,11.565,GG,Multivoltine,,
31,brown argus,Lycaenidae,June,1900,Buckinghamshire,HRB,,13.187,64.93,1.293,5.616,2,England S,12.28,11.565,GG,Multivoltine,,
3,holly blue,Lycaenidae,April,1900,Surrey,,male,15.655,93.106,1.379,5.066,2,England S,12.28,11.565,GG,Multivoltine,,
64,holly blue,Lycaenidae,August,1900,Oxfordshire,WG Pogson Smith,male,15.111,94.132,1.448,6.155,2,England S,12.28,11.565,GG,Multivoltine,,
66,holly blue,Lycaenidae,May,1900,Oxfordshire,WG Pogson Smith,female,14.254,81.184,1.604,5.535,2,England S,12.28,11.565,GG,Multivoltine,,
8,purple hairstreak,Lycaenidae,July,1900,Oxfordshire,Nevil V Sidgwick,male,16.715,126.111,1.798,6.21,2,England S,12.28,11.565,GS,Univoltine,,
15,purple hairstreak,Lycaenidae,July,1900,Oxfordshire,Nevil V Sidgwick,female,14.854,97.845,2.252,5.073,2,England S,12.28,11.565,GS,Univoltine,,
33,purple hairstreak,Lycaenidae,July,1900,Oxfordshire,WG Pogson Smith,male,16.827,121.582,1.843,5.985,2,England S,12.28,11.565,GS,Univoltine,,
34,purple hairstreak,Lycaenidae,July,1900,Oxfordshire,WG Pogson Smith,male,17.103,130.268,1.684,6.051,2,England S,12.28,11.565,GS,Univoltine,,
35,purple hairstreak,Lycaenidae,July,1900,Oxfordshire,WG Pogson Smith,male,16.942,120.734,1.934,6.238,2,England S,12.28,11.565,GS,Univoltine,,
42,purple hairstreak,Lycaenidae,July,1900,Oxfordshire,WG Pogson Smith,male,16.949,124.558,2.002,6.055,2,England S,12.28,11.565,GS,Univoltine,,
98,small blue,Lycaenidae,July,1900,Kent,WG Pogson Smith,male,11.719,50.203,1.009,3.997,2,England S,12.28,11.565,SS,Univoltine,,
44,small copper,Lycaenidae,August,1900,Buckinghamshire,HRB,,14.667,90.103,2.096,4.672,2,England S,12.28,11.565,GS,Multivoltine,,
23,common blue,Lycaenidae,June,1901,Oxfordshire,AH Hamm,male,15.266,86.394,2.012,5.348,2,England S,11.565,11.825,GG,Multivoltine,,
65,holly blue,Lycaenidae,May,1901,Oxfordshire,WG Pogson Smith,female,14.35,81.467,1.474,5.586,2,England S,11.565,11.825,GG,Multivoltine,,
72,holly blue,Lycaenidae,August,1901,Surrey,WM Geldart,male,16.053,99.58,1.217,4.939,2,England S,11.565,11.825,GG,Multivoltine,,
73,holly blue,Lycaenidae,August,1901,Surrey,WM Geldart,female,15.221,92.443,1.397,5.822,2,England S,11.565,11.825,GG,Multivoltine,,
9,purple hairstreak,Lycaenidae,July,1901,Oxfordshire,Nevil V Sidgwick,male,17.76,127.662,1.956,6.233,2,England S,11.565,11.825,GS,Univoltine,,
54,purple hairstreak,Lycaenidae,August,1901,Suffolk,AH Hamm,female,15.826,103.793,1.777,3.961,3,England S,11.565,11.825,GS,Univoltine,,
99,small copper,Lycaenidae,July,1901,South Wales,Nevil V Sidgwick,,14.309,86.072,1.932,4.336,2,Wales,10.21,10.81,GS,Multivoltine,,
51,brown argus,Lycaenidae,July,1902,Devon,,,12.414,57.109,1.376,5.816,1,England S,11.825,10.995,GG,Multivoltine,,
57,brown argus,Lycaenidae,July,1902,Devon,,,11.911,51.957,1.415,4.621,1,England S,11.825,10.995,GG,Multivoltine,,
27,holly blue,Lycaenidae,July,1902,Devon,,female,16.148,107.722,1.823,6.444,1,England S,11.825,10.995,GG,Multivoltine,,
80,holly blue,Lycaenidae,May,1902,Hertfordshire,Chitty,male,13.995,77.096,1.32,5.819,2,England S,11.825,10.995,GG,Multivoltine,,
56,purple hairstreak,Lycaenidae,August,1903,Cumbria,Nevil V Sidgwick,male,14.195,85.497,1.729,4.277,5,England N,9.45,9.785,GS,Univoltine,,
18,small blue,Lycaenidae,June,1903,Buckinghamshire,HRB,female,11.508,47.958,1.139,3.686,2,England S,10.995,11.11,SS,Univoltine,,
97,small blue,Lycaenidae,June,1903,Kent,Arthur Sidgwick,female,10.959,45.701,1.024,3.782,2,England S,10.995,11.11,SS,Univoltine,,
7,small copper,Lycaenidae,August,1903,Devon,,,15.666,99.077,2.056,4.233,1,England S,10.995,11.11,GS,Multivoltine,,
14,small copper,Lycaenidae,August,1903,Devon,SJ,,13.357,67.603,1.721,3.816,1,England S,10.995,11.11,GS,Multivoltine,,
55,adonis blue,Lycaenidae,August,1904,Kent,,male,16.201,100.049,1.491,6.263,2,England S,11.11,11.6,SS,Multivoltine,,
44,common blue,Lycaenidae,July,1904,Surrey,Meldola,female,14.118,75.154,1.509,5.092,2,England S,11.11,11.6,GG,Multivoltine,,
